frecuency;magnitude;;;
430000000;-97.7073287963867;;;
430016901.408451;-93.5115051269531;;;
430033802.816901;-94.3549499511719;;;
430050704.225352;-95.560432434082;;;
430067605.633803;-97.4607162475586;;;
430084507.042253;-92.6618728637695;;;
430101408.450704;-99.0072631835938;;;
430118309.859155;-99.0730133056641;;;
430135211.267606;-97.0673904418945;;;
430152112.676056;-93.9216842651367;;;
430169014.084507;-95.7915878295898;;;
430185915.492958;-94.1535491943359;;;
430202816.901408;-94.5266036987305;;;
430219718.309859;-95.8658828735352;;;
430236619.71831;-95.2148284912109;;;
430253521.126761;-100.555938720703;;;
430270422.535211;-99.0953826904297;;;
430287323.943662;-96.662223815918;;;
430304225.352113;-95.1114654541016;;;
430321126.760563;-98.0499267578125;;;
430338028.169014;-97.5942459106445;;;
430354929.577465;-95.5105361938477;;;
430371830.985915;-94.1254348754883;;;
430388732.394366;-96.3740768432617;;;
430405633.802817;-96.9808578491211;;;
430422535.211268;-98.5572052001953;;;
430439436.619718;-100.767463684082;;;
430456338.028169;-102.896408081055;;;
430473239.43662;-96.667121887207;;;
430490140.84507;-97.056755065918;;;
430507042.253521;-98.7307586669922;;;
430523943.661972;-96.7929534912109;;;
430540845.070423;-96.5661163330078;;;
430557746.478873;-95.3691024780273;;;
430574647.887324;-96.6232147216797;;;
430591549.295775;-96.1051635742188;;;
430608450.704225;-98.039924621582;;;
430625352.112676;-95.1232986450195;;;
430642253.521127;-100.168754577637;;;
430659154.929577;-94.780387878418;;;
430676056.338028;-98.3776626586914;;;
430692957.746479;-96.8998794555664;;;
430709859.15493;-95.8135299682617;;;
430726760.56338;-94.9851913452148;;;
430743661.971831;-90.7412567138672;;;
430760563.380282;-94.2283706665039;;;
430777464.788732;-92.7626342773438;;;
430794366.197183;-96.6555786132813;;;
430811267.605634;-98.6566390991211;;;
430828169.014085;-96.5605392456055;;;
430845070.422535;-95.9915924072266;;;
430861971.830986;-94.3094787597656;;;
430878873.239437;-96.2531814575195;;;
430895774.647887;-96.626579284668;;;
430912676.056338;-94.6601791381836;;;
430929577.464789;-96.4054641723633;;;
430946478.873239;-94.4544906616211;;;
430963380.28169;-93.354866027832;;;
430980281.690141;-96.6833953857422;;;
430997183.098592;-94.6380844116211;;;
431014084.507042;-94.6241149902344;;;
431030985.915493;-98.6399154663086;;;
431047887.323944;-94.1122436523438;;;
431064788.732394;-99.3861846923828;;;
431081690.140845;-95.8452377319336;;;
431098591.549296;-93.9683074951172;;;
431115492.957747;-93.6673889160156;;;
431132394.366197;-96.1139602661133;;;
431149295.774648;-94.2698822021484;;;
431166197.183099;-93.949104309082;;;
431183098.591549;-98.5534896850586;;;
431200000;-97.5972366333008;;;
431216901.408451;-94.4345321655273;;;
431233802.816901;-97.7054443359375;;;
431250704.225352;-96.7980804443359;;;
431267605.633803;-95.5485534667969;;;
431284507.042253;-93.1519775390625;;;
431301408.450704;-95.7583618164063;;;
431318309.859155;-95.813835144043;;;
431335211.267606;-96.9956817626953;;;
431352112.676056;-93.647102355957;;;
431369014.084507;-93.0431442260742;;;
431385915.492958;-98.8094024658203;;;
431402816.901408;-94.6854400634766;;;
431419718.309859;-96.7853240966797;;;
431436619.71831;-100.185440063477;;;
431453521.126761;-93.4460220336914;;;
431470422.535211;-95.174560546875;;;
431487323.943662;-98.3383407592773;;;
431504225.352113;-94.3065872192383;;;
431521126.760563;-92.9200820922852;;;
431538028.169014;-95.3056106567383;;;
431554929.577465;-93.4667892456055;;;
431571830.985915;-93.0796813964844;;;
431588732.394366;-96.4106674194336;;;
431605633.802817;-96.3089370727539;;;
431622535.211268;-96.4231491088867;;;
431639436.619718;-93.0721740722656;;;
