frecuency;magnitude;;;
420000000;-87.8805694580078;;;
420042957.746479;-90.3902816772461;;;
420085915.492958;-95.283821105957;;;
420128873.239437;-95.7920150756836;;;
420171830.985915;-95.8184509277344;;;
420214788.732394;-93.8985366821289;;;
420257746.478873;-93.52880859375;;;
420300704.225352;-96.9918441772461;;;
420343661.971831;-97.7021484375;;;
420386619.71831;-96.0025634765625;;;
420429577.464789;-97.3890075683594;;;
420472535.211268;-94.4259796142578;;;
420515492.957747;-93.6593246459961;;;
420558450.704225;-98.3252029418945;;;
420601408.450704;-96.1494369506836;;;
420644366.197183;-96.537353515625;;;
420687323.943662;-97.6316375732422;;;
420730281.690141;-96.7251205444336;;;
420773239.43662;-94.7027206420898;;;
420816197.183099;-94.6261672973633;;;
420859154.929577;-94.6955947875977;;;
420902112.676056;-97.4287109375;;;
420945070.422535;-95.6898040771484;;;
420988028.169014;-96.4691162109375;;;
421030985.915493;-96.9868469238281;;;
421073943.661972;-94.5113372802734;;;
421116901.408451;-96.3363494873047;;;
421159859.15493;-96.8403396606445;;;
421202816.901408;-95.7892150878906;;;
421245774.647887;-96.5823822021484;;;
421288732.394366;-96.4106597900391;;;
421331690.140845;-96.0676727294922;;;
421374647.887324;-96.5112609863281;;;
421417605.633803;-93.7941665649414;;;
421460563.380282;-94.3218078613281;;;
421503521.126761;-95.0645294189453;;;
421546478.873239;-99.5087890625;;;
421589436.619718;-98.8573150634766;;;
421632394.366197;-96.4785766601563;;;
421675352.112676;-95.6318740844727;;;
421718309.859155;-100.010269165039;;;
421761267.605634;-93.8176193237305;;;
421804225.352113;-97.2270431518555;;;
421847183.098592;-96.0367584228516;;;
421890140.84507;-93.6663818359375;;;
421933098.591549;-94.9687805175781;;;
421976056.338028;-94.2226486206055;;;
422019014.084507;-94.8855590820313;;;
422061971.830986;-97.0170135498047;;;
422104929.577465;-96.6204147338867;;;
422147887.323944;-96.3276596069336;;;
422190845.070423;-96.9171371459961;;;
422233802.816901;-95.0210494995117;;;
422276760.56338;-94.9692230224609;;;
422319718.309859;-98.3306350708008;;;
422362676.056338;-98.4900283813477;;;
422405633.802817;-95.9012069702148;;;
422448591.549296;-92.8147583007813;;;
422491549.295775;-95.1945724487305;;;
422534507.042253;-96.3751602172852;;;
422577464.788732;-93.9261627197266;;;
422620422.535211;-96.484130859375;;;
422663380.28169;-95.5211029052734;;;
422706338.028169;-93.7771224975586;;;
422749295.774648;-99.2699127197266;;;
422792253.521127;-94.7884826660156;;;
422835211.267606;-97.4046096801758;;;
422878169.014085;-96.1277542114258;;;
422921126.760563;-92.1440887451172;;;
422964084.507042;-96.1625289916992;;;
423007042.253521;-95.4709548950195;;;
423050000;-91.9756240844727;;;
423092957.746479;-95.3045883178711;;;
423135915.492958;-95.721923828125;;;
423178873.239437;-96.1611785888672;;;
423221830.985915;-94.9101104736328;;;
423264788.732394;-97.3279876708984;;;
423307746.478873;-98.0774765014648;;;
423350704.225352;-97.1169967651367;;;
423393661.971831;-95.9986724853516;;;
423436619.71831;-94.4149169921875;;;
423479577.464789;-95.6757278442383;;;
423522535.211268;-96.3928146362305;;;
423565492.957747;-97.7054977416992;;;
423608450.704225;-95.839225769043;;;
423651408.450704;-97.1084365844727;;;
423694366.197183;-95.3048782348633;;;
423737323.943662;-95.4017868041992;;;
423780281.690141;-97.0841217041016;;;
423823239.43662;-93.6078033447266;;;
423866197.183099;-95.0557022094727;;;
423909154.929577;-92.5715179443359;;;
423952112.676056;-94.2465744018555;;;
423995070.422535;-94.9498672485352;;;
424038028.169014;-96.7217407226563;;;
424080985.915493;-94.5051727294922;;;
424123943.661972;-95.0800018310547;;;
424166901.408451;-96.8719100952148;;;
424209859.15493;-93.850715637207;;;
424252816.901408;-96.6147079467773;;;
424295774.647887;-98.3283462524414;;;
424338732.394366;-95.5976409912109;;;
424381690.140845;-96.9186172485352;;;
424424647.887324;-98.2068176269531;;;
424467605.633803;-95.0713424682617;;;
424510563.380282;-94.9461441040039;;;
424553521.126761;-96.7179641723633;;;
424596478.873239;-94.5736083984375;;;
424639436.619718;-96.1646347045898;;;
424682394.366197;-94.6363525390625;;;
424725352.112676;-95.8429183959961;;;
424768309.859155;-97.8772430419922;;;
424811267.605634;-96.6278762817383;;;
424854225.352113;-95.310791015625;;;
424897183.098592;-93.4295959472656;;;
424940140.84507;-96.3315353393555;;;
424983098.591549;-93.697151184082;;;
425026056.338028;-94.8233413696289;;;
425069014.084507;-95.8917465209961;;;
425111971.830986;-96.4230651855469;;;
425154929.577465;-95.5232925415039;;;
425197887.323944;-95.6536865234375;;;
425240845.070423;-95.7451019287109;;;
425283802.816901;-94.1632537841797;;;
425326760.56338;-95.6614761352539;;;
425369718.309859;-96.305046081543;;;
425412676.056338;-95.4032974243164;;;
425455633.802817;-96.7939071655273;;;
425498591.549296;-98.5278472900391;;;
425541549.295775;-92.5638885498047;;;
425584507.042253;-95.4202575683594;;;
425627464.788732;-96.7477874755859;;;
425670422.535211;-94.498420715332;;;
425713380.28169;-93.3063125610352;;;
425756338.028169;-93.7995834350586;;;
425799295.774648;-97.3443603515625;;;
425842253.521127;-93.49951171875;;;
425885211.267606;-96.0377578735352;;;
425928169.014085;-94.4821090698242;;;
425971126.760563;-95.2379531860352;;;
426014084.507042;-96.6173324584961;;;
426057042.253521;-96.2522125244141;;;
426100000;-96.7884674072266;;;
426142957.746479;-99.1773300170898;;;
426185915.492958;-94.295768737793;;;
426228873.239437;-97.3201293945313;;;
426271830.985915;-96.7508010864258;;;
426314788.732394;-94.4275283813477;;;
426357746.478873;-95.3369674682617;;;
426400704.225352;-95.5684051513672;;;
426443661.971831;-97.2832183837891;;;
426486619.71831;-97.8994445800781;;;
426529577.464789;-97.7022476196289;;;
426572535.211268;-94.1086578369141;;;
426615492.957747;-94.2382049560547;;;
426658450.704225;-97.7749252319336;;;
426701408.450704;-95.2135848999023;;;
426744366.197183;-97.0090713500977;;;
426787323.943662;-96.3618011474609;;;
426830281.690141;-96.0959854125977;;;
426873239.43662;-95.0549163818359;;;
426916197.183099;-95.4955444335938;;;
426959154.929577;-97.9457244873047;;;
